['Dr. Reshma Phulwar', '11', 'Dentist', '300', '96% ', 'Chembur', 'Mumbai']
['Dr. Shantanu Jambhekar', '25', 'Dermatologist', '700', '99% ', 'Parel', 'Mumbai']
['Dr. Aashiq Shaikh', '15', 'Homoeopath', '500', '100% ', 'Bhandup West', 'Mumbai']
['Dr. Meghal Shah', '13', 'Ayurveda', '300', '99% ', 'Vileparle East', 'Mumbai']
['Dr. Siddhi Dinesh Prabhu', '16', 'Dentist', '400', '100% ', 'Grant Road', 'Mumbai']
['Dr. Sonia Anare', '12', 'Dermatologist', '300', '100% ', 'Parel', 'Mumbai']
['Dr. Husain Harianawala', '13', 'Homoeopath', '500', '96% ', 'Lokhandwala', 'Mumbai']
['Dr. Amit Oswal', '13', 'Ayurveda', '1000', '100% ', 'Lal baug', 'Mumbai']
['Dr. Darshan Hiralal Vora', '13', 'Dentist', '200', '99% ', 'Mulund West', 'Mumbai']
['Dr. Sheel Vora', '24', 'Dermatologist', '500', '98% ', 'Santacruz West', 'Mumbai']
['Dr. Rameshwar Gutte', '17', 'Homoeopath', '500', '95% ', 'Kanjurmarg', 'Mumbai']
['Dr. Resham Vasani Bhojani', '11', 'Ayurveda', '300', '99% ', 'Matunga', 'Mumbai']
['Dr. Mohd Asif', '25', 'Dentist', '700', '100% ', 'Santacruz West', 'Mumbai']
['Dr. Rahul Shetty', '15', 'Dermatologist', '500', '97% ', 'Vileparle West', 'Mumbai']
['Dr. Kiran Katkar', '13', 'Homoeopath', '300', '93% ', 'Dadar West', 'Mumbai']
['Dr. Malay Mehta', '16', 'Ayurveda', '400', '96% ', 'Vileparle West', 'Mumbai']
['Dr. Bhushan S  Bawankar', '12', 'Dentist', '300', '97% ', 'Matunga West', 'Mumbai']
['Dr. Neha V Shah', '13', 'Dermatologist', '500', '99% ', 'Ghatkopar East', 'Mumbai']
['Dr. Haresh  Timbadia', '13', 'Homoeopath', '1000', '95% ', 'Borivali West', 'Mumbai']
['Dr. Vaishali Kanthi', '13', 'Ayurveda', '200', '87% ', 'Bhandup West', 'Mumbai']
['Dr. P M Bhanej', '24', 'Dentist', '500', '91% ', 'Malad West', 'Mumbai']
['Dr. Rajiv Bhanej', '17', 'Dermatologist', '500', '96% ', 'Malad West', 'Mumbai']
['Dr. Prakash Kumar Jha', '18', 'Homoeopath', '500', '92% ', 'Mira Road', 'Mumbai']
['Dr. Komal Dixit', '23', 'Ayurveda', '1500', '75% ', 'Ghatkopar East', 'Mumbai']
['Dr. Hetal Pabaria', '10', 'Dentist', '1000', '100% ', 'Mulund West', 'Mumbai']
['Dr. Sejal Vivek Parekar', '11', 'Dermatologist', '800', '100% ', 'Borivali West', 'Mumbai']
['Dr. Rupesh Singh', '37', 'Homoeopath', '1000', '95% ', 'Mira Road', 'Mumbai']
['Dr. Saadan  Shahid', '11', 'Ayurveda', '1000', '100% ', 'Lokhandwala', 'Mumbai']
['Dr. Swarup Sampat', '12', 'Dentist', '1000', '57% ', 'Sakinaka', 'Mumbai']
['Dr. Bhavesh Acharya', '13', 'Dermatologist', '1000', '98% ', 'Andheri East', 'Mumbai']
['Dr. Sunita Jonwal', '41', 'Homoeopath', '1200', '90% ', 'Kandivali West', 'Mumbai']
['Dr. Darshan Desai', '24', 'Ayurveda', '800', '98% ', 'Borivali West', 'Mumbai']
['Dr. Kuldip Raj Kohli', '11', 'Dentist', '300', '100% ', 'Lower Parel', 'Mumbai']
['Dr. Anita Gupta', '25', 'Dermatologist', '700', '98% ', 'Mulund West', 'Mumbai']
